Genero,Casado,Graduado,Gastoscore,Experiencia_laboral,Profesion_Artista,Profesion_Construccion,Profesion_Ejecutivo,Profesion_Funcionario,Profesion_Ingeniero,Profesion_Medico,Profesion_Negocios/empresa,Profesion_Otros,Profesion_Servicios,Generacion,Provincia_Este,Provincia_Norte,Provincia_Oeste,Provincia_Sur,Edad,Family_Size,Ingresos_anuales_brutos,Dias_cliente,per_capita_income,client_longevity,socioeconomic_index,marital_education_interaction,Cluster
1,1,1,0,2,0,1,0,0,0,0,0,0,0,0.0,0,0,0,1,56,1,23165,269,23165.0,4.719298245614035,0.0,1.0,2
0,1,1,0,2,0,0,0,0,0,0,0,1,0,0.0,0,0,1,0,54,1,31813,124,31813.0,2.2545454545454544,0.0,1.0,2
1,1,1,0,2,0,0,0,0,1,0,0,0,0,0.0,0,0,0,1,57,1,65881,100,65881.0,1.7241379310344827,0.5,1.0,0
0,0,1,0,2,0,0,0,0,0,1,0,0,0,0.0,0,1,0,0,58,1,98016,111,98016.0,1.88135593220339,1.0,0.0,0
0,1,1,1,2,1,0,0,0,0,0,0,0,0,0.0,0,0,0,1,47,2,118920,299,59460.0,6.229166666666667,0.5,1.0,0
0,1,1,0,2,0,0,0,0,0,1,0,0,0,0.0,0,0,1,0,46,2,110986,353,55493.0,7.51063829787234,1.0,1.0,0
0,0,1,0,1,0,0,0,0,0,1,0,0,0,2.0,0,0,0,1,40,1,118745,594,118745.0,14.487804878048781,1.0,0.0,0
0,0,1,0,1,1,0,0,0,0,0,0,0,0,2.0,0,0,1,0,40,2,28101,213,14050.5,5.195121951219512,0.0,0.0,1
1,0,1,0,2,0,0,0,1,0,0,0,0,0,0.0,0,0,1,0,44,1,41542,481,41542.0,10.688888888888888,0.5,0.0,2
0,1,1,1,2,0,0,0,0,0,0,0,1,0,0.0,0,0,1,0,52,3,86337,315,28779.0,5.943396226415095,0.5,1.0,2
0,0,0,0,1,0,0,0,0,0,1,0,0,0,2.0,0,1,0,0,33,2,23343,363,11671.5,10.676470588235293,1.0,0.0,4
1,1,1,0,2,1,0,0,0,0,0,0,0,0,0.0,0,1,0,0,58,1,120481,336,120481.0,5.694915254237288,0.0,1.0,0
1,0,1,0,2,0,0,0,0,0,0,0,1,0,0.0,0,0,0,1,56,1,33444,407,33444.0,7.140350877192983,0.0,0.0,2
0,1,1,1,2,1,0,0,0,0,0,0,0,0,0.0,1,0,0,0,50,2,63085,58,31542.5,1.1372549019607843,0.5,1.0,2
0,0,1,0,1,0,0,0,1,0,0,0,0,0,2.0,1,0,0,0,36,5,18101,51,3620.2,1.3783783783783783,0.5,0.0,1
1,0,1,0,2,1,0,0,0,0,0,0,0,0,0.0,0,0,1,0,44,2,44724,447,22362.0,9.933333333333334,0.0,0.0,2
1,1,1,0,1,0,0,0,0,0,0,1,0,0,2.0,1,0,0,0,40,1,56314,463,56314.0,11.292682926829269,1.0,1.0,4
0,0,0,0,1,0,0,0,0,1,0,0,0,0,2.0,1,0,0,0,35,4,25008,316,6252.0,8.777777777777779,0.5,0.0,1
1,1,1,0,2,1,0,0,0,0,0,0,0,0,0.0,0,0,0,1,56,2,22001,580,11000.5,10.175438596491228,0.0,1.0,2
1,0,1,0,2,1,0,0,0,0,0,0,0,0,0.0,0,0,0,1,54,1,21769,493,21769.0,8.963636363636363,0.0,0.0,2
0,1,0,0,2,0,0,0,0,0,0,0,0,1,,0,0,1,0,89,1,118924,378,118924.0,4.2,0.5,0.0,0
0,1,1,1,2,1,0,0,0,0,0,0,0,0,,0,0,1,0,79,4,90739,129,22684.75,1.6125,0.5,1.0,2
1,0,1,0,2,1,0,0,0,0,0,0,0,0,0.0,0,0,1,0,77,2,123905,114,61952.5,1.4615384615384615,0.0,0.0,0
0,0,1,0,2,1,0,0,0,0,0,0,0,0,0.0,0,1,0,0,44,2,117230,124,58615.0,2.7555555555555555,0.0,0.0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,0,0,1,0,23,3,15394,304,5131.333333333333,12.666666666666666,0.5,0.0,4
0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,0,0,1,0,23,5,22448,382,4489.6,15.916666666666666,0.5,0.0,4
1,1,0,1,2,0,0,0,0,0,0,0,1,0,0.0,0,1,0,0,45,4,86899,542,21724.75,11.782608695652174,0.5,0.0,2
1,0,0,0,2,0,0,0,0,1,0,0,0,0,0.0,0,0,1,0,54,1,112072,389,112072.0,7.072727272727272,0.5,0.0,0
1,0,0,0,2,0,0,0,0,0,0,0,1,0,0.0,0,0,1,0,56,1,102706,316,102706.0,5.543859649122807,0.0,0.0,0
0,1,0,1,0,0,0,0,1,0,0,0,0,0,2.0,0,1,0,0,31,5,30641,394,6128.2,12.3125,1.0,0.0,4
0,0,1,0,1,0,0,0,1,0,0,0,0,0,2.0,0,0,1,0,41,2,74453,449,37226.5,10.69047619047619,0.5,0.0,4
1,1,0,1,2,1,0,0,0,0,0,0,0,0,0.0,1,0,0,0,69,3,47643,248,15881.0,3.5428571428571427,0.5,,2
0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,0,0,0,1,21,4,21922,359,5480.5,16.318181818181817,0.5,0.0,4
1,0,0,0,1,0,0,0,1,0,0,0,0,0,2.0,0,1,0,0,35,3,29858,389,9952.666666666666,10.805555555555555,0.5,0.0,4
1,0,0,1,2,0,0,0,1,0,0,0,0,0,0.0,0,0,0,1,54,2,101647,132,50823.5,2.4,1.0,,2
1,1,0,0,2,1,0,0,0,0,0,0,0,0,0.0,0,1,0,0,56,1,116712,120,116712.0,2.1052631578947367,0.0,0.0,0
0,1,0,0,0,0,0,0,0,0,0,0,1,0,2.0,0,0,1,0,29,2,18405,53,9202.5,1.7666666666666666,0.0,0.0,1
0,1,0,0,2,1,0,0,0,0,0,0,0,0,0.0,0,0,0,1,67,1,81561,468,81561.0,6.882352941176471,0.0,0.0,0
1,1,1,1,2,1,0,0,0,0,0,0,0,0,0.0,0,0,1,0,56,4,35364,95,8841.0,1.6666666666666667,0.5,1.0,2
1,1,1,1,2,1,0,0,0,0,0,0,0,0,0.0,0,0,0,1,50,3,96083,347,32027.666666666668,6.803921568627451,0.5,1.0,2
0,1,1,2,1,0,0,0,0,0,0,0,1,0,2.0,0,1,0,0,32,2,18234,519,9117.0,15.727272727272727,1.0,1.0,4
0,1,0,0,2,0,0,0,0,0,0,0,0,1,0.0,0,0,1,0,52,5,48556,353,9711.2,6.660377358490566,0.5,0.0,2
0,0,1,0,0,0,0,0,0,0,1,0,0,0,2.0,0,0,0,1,28,2,28126,378,14063.0,13.03448275862069,1.0,0.0,4
0,0,0,0,2,0,0,0,0,0,0,1,0,0,0.0,0,0,1,0,44,5,81077,585,16215.4,13.0,1.0,0.0,2
0,0,1,0,2,0,0,0,0,0,0,0,0,1,0.0,0,0,1,0,50,1,51599,321,51599.0,6.294117647058823,0.5,0.0,0
1,1,1,0,2,0,0,0,0,0,0,0,0,1,,0,1,0,0,81,1,22520,220,22520.0,2.682926829268293,0.5,1.0,2
0,1,1,1,1,0,0,0,0,0,0,0,1,0,2.0,0,0,1,0,35,2,21382,588,10691.0,16.333333333333332,0.5,1.0,4
0,1,1,0,2,1,0,0,0,0,0,0,0,0,2.0,1,0,0,0,42,3,90912,46,30304.0,1.069767441860465,0.0,1.0,2
1,0,1,0,2,1,0,0,0,0,0,0,0,0,2.0,0,0,0,1,42,2,56181,526,28090.5,12.232558139534884,0.0,0.0,4
1,1,1,0,2,0,0,0,0,1,0,0,0,0,0.0,0,0,1,0,53,3,70540,55,23513.333333333332,1.0185185185185186,0.5,1.0,2
1,0,1,0,2,0,0,0,0,0,1,0,0,0,0.0,1,0,0,0,78,1,113998,414,113998.0,5.2405063291139244,1.0,0.0,0
1,1,1,0,2,1,0,0,0,0,0,0,0,0,0.0,1,0,0,0,51,3,50710,264,16903.333333333332,5.076923076923077,0.0,1.0,2
1,1,1,0,2,1,0,0,0,0,0,0,0,0,0.0,0,0,1,0,51,2,86652,361,43326.0,6.9423076923076925,0.0,1.0,2
1,1,1,0,2,1,0,0,0,0,0,0,0,0,0.0,0,0,0,1,54,2,28962,214,14481.0,3.890909090909091,0.0,1.0,2
0,1,0,0,2,0,0,0,0,0,0,0,1,0,0.0,0,0,0,1,47,3,125707,484,41902.333333333336,10.083333333333334,0.0,0.0,0
1,0,1,0,2,1,0,0,0,0,0,0,0,0,2.0,0,1,0,0,42,4,41471,597,10367.75,13.883720930232558,0.0,0.0,4
0,0,1,0,0,0,0,0,1,0,0,0,0,0,2.0,0,0,0,1,30,2,24574,168,12287.0,5.419354838709677,0.5,0.0,1
0,0,1,0,0,0,0,0,1,0,0,0,0,0,2.0,0,1,0,0,28,4,20959,466,5239.75,16.06896551724138,0.5,0.0,4
1,1,1,0,2,0,0,0,0,1,0,0,0,0,0.0,0,1,0,0,51,4,74075,426,18518.75,8.192307692307692,0.5,1.0,2
1,0,1,0,0,0,0,0,0,1,0,0,0,0,2.0,0,0,0,1,31,3,28041,158,9347.0,4.9375,0.5,0.0,1
1,0,1,0,2,0,0,0,0,0,0,0,1,0,0.0,0,0,0,1,45,4,109478,161,27369.5,3.5,0.0,0.0,2
1,0,1,0,1,1,0,0,0,0,0,0,0,0,2.0,0,0,0,1,35,5,26148,130,5229.6,3.611111111111111,0.0,0.0,1
1,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,0,0,1,0,23,4,13024,485,3256.0,20.208333333333332,0.5,0.0,4
0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,0,0,1,0,24,6,15038,43,2506.3333333333335,1.72,0.5,0.0,1
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2.0,0,1,0,0,30,5,25282,288,5056.4,9.290322580645162,0.5,0.0,1
0,1,1,1,2,1,0,0,0,0,0,0,0,0,0.0,0,0,1,0,44,2,34194,171,17097.0,3.8,0.5,1.0,2
1,1,0,0,2,0,0,0,0,1,0,0,0,0,0.0,0,0,0,1,75,1,53833,398,53833.0,5.2368421052631575,0.5,0.0,0
0,1,1,2,2,1,0,0,0,0,0,0,0,0,0.0,1,0,0,0,77,2,74519,350,37259.5,4.487179487179487,1.0,1.0,3
1,0,0,0,0,0,1,0,0,0,0,0,0,0,2.0,0,0,1,0,28,7,19814,492,2830.5714285714284,16.96551724137931,0.0,0.0,4
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2.0,0,0,0,1,31,4,24129,379,6032.25,11.84375,0.5,0.0,4
0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.0,0,0,1,0,31,8,30178,76,3772.25,2.375,1.0,0.0,1
0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.0,0,1,0,0,30,3,28894,105,9631.333333333334,3.3870967741935485,0.0,0.0,1
0,1,0,1,2,0,0,0,0,0,0,0,1,0,0.0,1,0,0,0,74,4,82103,330,20525.75,4.4,0.5,0.0,2
0,1,0,0,2,0,0,1,0,0,0,0,0,0,0.0,0,0,0,1,51,9,50742,254,5638.0,4.884615384615385,1.0,0.0,2
1,0,0,0,1,0,0,0,0,0,0,0,1,0,2.0,0,0,1,0,36,4,23367,495,5841.75,13.378378378378379,0.0,0.0,4
1,1,1,1,2,0,0,0,0,0,1,0,0,0,0.0,0,1,0,0,44,3,108678,246,36226.0,5.466666666666667,1.5,1.0,3
1,1,0,1,2,0,0,0,0,0,0,0,0,1,0.0,0,1,0,0,53,7,110010,198,15715.714285714286,3.6666666666666665,1.0,0.0,2
0,1,0,2,2,0,0,1,0,0,0,0,0,0,0.0,0,0,0,1,46,5,74824,213,14964.8,4.531914893617022,2.0,0.0,3
1,1,1,0,2,0,0,0,0,0,0,0,0,1,0.0,0,0,1,0,68,2,61865,335,30932.5,4.855072463768116,0.5,1.0,2
0,0,1,0,2,0,0,0,0,0,0,0,0,1,0.0,0,0,1,0,62,1,65149,117,65149.0,1.8571428571428572,0.5,0.0,0
1,0,1,0,2,0,0,0,0,1,0,0,0,0,0.0,0,0,1,0,56,1,80564,506,80564.0,8.87719298245614,0.5,0.0,0
1,0,1,0,0,0,0,0,1,0,0,0,0,0,2.0,0,0,1,0,30,1,24531,262,24531.0,8.451612903225806,0.5,0.0,1
1,0,1,0,0,0,0,0,0,0,1,0,0,0,2.0,0,0,1,0,28,3,22954,370,7651.333333333333,12.758620689655173,1.0,0.0,4
1,1,0,2,2,1,0,0,0,0,0,0,0,0,0.0,1,0,0,0,56,2,82472,381,41236.0,6.684210526315789,1.0,0.0,3
1,1,1,1,0,0,0,0,1,0,0,0,0,0,2.0,0,0,1,0,29,2,18414,247,9207.0,8.233333333333333,1.0,1.0,1
1,0,1,0,1,0,0,0,0,0,1,0,0,0,2.0,0,0,0,1,39,1,23732,250,23732.0,6.25,1.0,0.0,1
1,0,1,0,0,0,0,0,0,0,1,0,0,0,2.0,0,0,0,1,28,3,26030,325,8676.666666666666,11.206896551724139,1.0,,4
0,0,0,0,1,0,0,0,1,0,0,0,0,0,2.0,0,0,1,0,33,3,18298,519,6099.333333333333,15.264705882352942,0.5,0.0,4
1,0,1,0,2,0,0,0,1,0,0,0,0,0,0.0,0,0,0,1,45,1,91130,288,91130.0,6.260869565217392,0.5,0.0,0
0,0,1,0,1,1,0,0,0,0,0,0,0,0,2.0,0,0,0,1,41,1,100722,95,100722.0,2.261904761904762,0.0,0.0,0
0,1,1,0,2,1,0,0,0,0,0,0,0,0,0.0,0,0,1,0,46,3,39822,197,13274.0,4.191489361702128,0.0,1.0,2
1,1,1,2,2,1,0,0,0,0,0,0,0,0,0.0,0,0,0,1,44,5,65803,577,13160.6,12.822222222222223,1.0,1.0,3
0,0,1,0,1,0,0,0,0,0,0,0,1,0,2.0,0,0,1,0,40,1,82317,270,82317.0,6.585365853658536,0.0,0.0,0
1,0,1,0,2,1,0,0,0,0,0,0,0,0,2.0,1,0,0,0,43,1,36678,294,36678.0,6.681818181818182,0.0,0.0,1
0,1,1,2,2,0,0,1,0,0,0,0,0,0,0.0,0,1,0,0,44,3,121189,400,40396.333333333336,8.88888888888889,2.0,1.0,3
1,1,1,1,2,0,0,0,0,1,0,0,0,0,0.0,0,1,0,0,44,2,59561,245,29780.5,5.444444444444445,1.0,1.0,2
0,0,1,0,0,1,0,0,0,0,0,0,0,0,2.0,0,0,1,0,31,6,28964,379,4827.333333333333,11.84375,0.0,0.0,4
1,0,1,0,1,0,0,0,0,0,0,1,0,0,2.0,0,0,1,0,34,1,20958,376,20958.0,10.742857142857142,1.0,0.0,4
0,0,1,0,2,1,0,0,0,0,0,0,0,0,0.0,0,0,0,1,45,1,91295,396,91295.0,8.608695652173912,0.0,0.0,0
1,0,1,0,0,0,0,0,0,1,0,0,0,0,2.0,0,0,1,0,31,5,21062,358,4212.4,11.1875,0.5,0.0,4
0,1,0,1,1,0,0,0,0,1,0,0,0,0,2.0,1,0,0,0,33,3,26010,152,8670.0,4.470588235294118,1.0,0.0,1
1,0,0,0,2,0,0,0,1,0,0,0,0,0,0.0,0,1,0,0,44,3,82413,128,27471.0,2.8444444444444446,0.5,0.0,2
0,0,1,0,1,0,0,0,1,0,0,0,0,0,2.0,0,1,0,0,33,1,22697,448,22697.0,13.176470588235293,0.5,0.0,4
1,0,1,0,1,0,0,0,1,0,0,0,0,0,2.0,0,0,1,0,33,1,22806,134,22806.0,3.9411764705882355,0.5,0.0,1
1,0,1,0,2,1,0,0,0,0,0,0,0,0,2.0,0,1,0,0,42,2,42794,474,21397.0,11.023255813953488,0.0,0.0,4
0,1,1,0,2,1,0,0,0,0,0,0,0,0,0.0,0,0,1,0,47,1,115634,395,115634.0,8.229166666666666,0.0,1.0,0
0,0,1,0,1,0,0,0,0,0,0,0,1,0,2.0,0,0,0,1,32,1,19515,543,19515.0,16.454545454545453,0.0,0.0,4
1,0,1,0,1,0,0,0,1,0,0,0,0,0,2.0,0,1,0,0,33,3,24037,129,8012.333333333333,3.7941176470588234,0.5,0.0,1
0,1,1,0,0,0,0,0,1,0,0,0,0,0,2.0,1,0,0,0,30,2,30553,108,15276.5,3.4838709677419355,0.5,1.0,1
1,1,1,1,2,1,0,0,0,0,0,0,0,0,0.0,0,0,1,0,53,2,112595,353,56297.5,6.537037037037037,0.5,1.0,0
1,0,1,0,2,1,0,0,0,0,0,0,0,0,0.0,0,0,1,0,56,1,42569,498,42569.0,8.736842105263158,0.0,0.0,2
1,0,1,0,2,0,0,0,0,0,0,1,0,0,0.0,1,0,0,0,53,1,129312,188,129312.0,3.4814814814814814,1.0,0.0,0
0,0,1,0,2,0,0,0,0,0,0,0,0,1,0.0,0,1,0,0,52,1,79139,452,79139.0,8.528301886792454,0.5,0.0,0
1,0,1,0,0,0,0,0,0,0,0,1,0,0,2.0,0,0,0,1,31,1,21533,504,21533.0,15.75,1.0,0.0,4
1,0,1,0,2,1,0,0,0,0,0,0,0,0,0.0,0,0,1,0,44,1,86268,351,86268.0,7.8,0.0,0.0,0
0,1,1,0,2,1,0,0,0,0,0,0,0,0,0.0,1,0,0,0,56,2,91677,222,45838.5,3.8947368421052633,0.0,1.0,2
1,1,0,0,1,0,0,0,0,0,0,1,0,0,2.0,0,0,1,0,40,2,49599,416,24799.5,10.146341463414634,1.0,0.0,4
1,0,1,0,2,0,0,0,0,0,0,1,0,0,0.0,1,0,0,0,56,1,67106,56,67106.0,0.9824561403508771,1.0,0.0,0
0,1,1,2,2,0,0,1,0,0,0,0,0,0,0.0,0,0,1,0,50,4,67996,137,16999.0,2.6862745098039214,2.0,1.0,3
0,0,1,0,2,1,0,0,0,0,0,0,0,0,0.0,0,0,1,0,44,1,109040,218,109040.0,4.844444444444444,0.0,0.0,0
0,0,1,0,2,1,0,0,0,0,0,0,0,0,0.0,0,0,1,0,44,1,125899,199,125899.0,4.4222222222222225,0.0,0.0,0
0,1,1,0,2,1,0,0,0,0,0,0,0,0,0.0,0,0,1,0,45,2,108619,492,54309.5,10.695652173913043,0.0,1.0,0
0,1,1,1,2,0,0,0,0,0,0,0,1,0,0.0,0,0,0,1,47,4,98845,306,24711.25,6.375,0.5,1.0,2
0,1,1,1,2,0,0,0,0,0,0,0,1,0,0.0,0,0,0,1,57,4,117511,154,29377.75,2.6551724137931036,0.5,1.0,2
0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,1,0,0,0,23,3,13426,380,4475.333333333333,15.833333333333334,0.5,,4
0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,1,0,0,0,25,4,31975,431,7993.75,16.576923076923077,0.5,0.0,4
1,0,0,0,1,0,0,0,0,0,1,0,0,0,2.0,0,0,1,0,34,3,21526,527,7175.333333333333,15.057142857142857,1.0,0.0,4
1,1,1,0,2,0,0,0,0,0,0,0,1,0,0.0,0,1,0,0,46,2,126327,539,63163.5,11.46808510638298,0.0,1.0,0
0,1,0,0,2,1,0,0,0,0,0,0,0,0,0.0,0,0,1,0,67,1,108904,170,108904.0,2.5,0.0,0.0,0
1,1,1,0,2,0,1,0,0,0,0,0,0,0,0.0,0,1,0,0,50,1,44584,311,44584.0,6.098039215686274,0.0,1.0,2
1,1,1,0,2,1,0,0,0,0,0,0,0,0,0.0,0,1,0,0,69,1,39911,301,39911.0,4.3,0.0,1.0,2
0,1,0,0,2,0,0,0,0,0,0,0,0,1,,0,0,1,0,95,1,42398,230,42398.0,2.3958333333333335,0.5,0.0,2
1,1,0,2,2,0,0,0,0,1,0,0,0,0,0.0,0,1,0,0,74,3,87994,398,29331.333333333332,5.306666666666667,1.5,0.0,3
0,1,0,2,2,0,0,1,0,0,0,0,0,0,0.0,0,0,1,0,78,3,56726,122,18908.666666666668,1.5443037974683544,2.0,0.0,3
1,1,1,1,2,0,0,1,0,0,0,0,0,0,0.0,0,0,1,0,63,2,108660,374,54330.0,5.84375,1.5,1.0,3
1,1,0,0,2,0,0,0,0,0,0,0,1,0,0.0,0,1,0,0,47,2,67201,358,33600.5,7.458333333333333,0.0,0.0,2
0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.0,0,1,0,0,31,2,27786,532,13893.0,16.625,0.0,,4
0,1,0,0,2,0,0,0,0,0,0,0,1,0,0.0,0,0,1,0,52,2,53670,464,26835.0,8.754716981132075,0.0,0.0,2
1,1,1,1,2,1,0,0,0,0,0,0,0,0,0.0,0,1,0,0,58,4,114237,139,28559.25,2.3559322033898304,0.5,1.0,2
1,1,0,1,1,0,0,0,0,0,0,0,1,0,2.0,0,0,0,1,40,2,22365,143,11182.5,3.4878048780487805,0.5,0.0,1
0,1,0,0,1,0,0,0,0,0,0,0,1,0,2.0,0,0,0,1,39,1,30486,399,30486.0,9.975,0.0,0.0,4
1,1,1,2,2,1,0,0,0,0,0,0,0,0,0.0,0,1,0,0,53,4,22129,264,5532.25,4.888888888888889,1.0,1.0,3
1,1,1,0,2,1,0,0,0,0,0,0,0,0,0.0,0,1,0,0,66,3,105751,207,35250.333333333336,3.08955223880597,0.0,1.0,2
1,1,0,0,2,0,0,1,0,0,0,0,0,0,0.0,0,1,0,0,50,1,60408,172,60408.0,3.372549019607843,1.0,0.0,0
1,1,0,0,2,0,0,0,0,1,0,0,0,0,0.0,0,0,1,0,46,2,53037,186,26518.5,3.9574468085106385,0.5,0.0,2
0,0,1,0,1,1,0,0,0,0,0,0,0,0,2.0,0,0,0,1,41,3,44266,521,14755.333333333334,12.404761904761905,0.0,0.0,4
1,1,1,0,2,0,0,0,0,0,0,0,0,1,,0,0,0,1,98,1,113338,72,113338.0,0.7272727272727273,0.5,1.0,0
1,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,1,0,0,0,25,2,29804,121,14902.0,4.653846153846154,1.0,0.0,1
0,1,1,0,2,0,1,0,0,0,0,0,0,0,0.0,0,0,0,1,51,1,120379,577,120379.0,11.096153846153847,0.0,1.0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,1,0,0,0,24,4,16208,144,4052.0,5.76,0.5,0.0,1
1,0,0,0,1,0,0,0,1,0,0,0,0,0,2.0,0,1,0,0,33,7,20208,378,2886.8571428571427,11.117647058823529,0.5,0.0,4
0,1,1,0,2,0,0,0,0,0,0,0,1,0,0.0,0,0,0,1,64,1,95401,366,95401.0,5.630769230769231,0.0,1.0,0
0,1,1,1,2,1,0,0,0,0,0,0,0,0,,0,1,0,0,80,4,126109,393,31527.25,4.851851851851852,0.5,1.0,2
1,1,1,0,2,0,0,0,0,0,0,0,0,1,0.0,0,0,1,0,78,1,59401,504,59401.0,6.379746835443038,0.5,1.0,0
1,1,0,0,1,0,0,0,0,1,0,0,0,0,2.0,0,1,0,0,39,5,21647,468,4329.4,11.7,0.5,0.0,4
0,1,1,1,2,0,0,0,0,0,0,0,1,0,0.0,0,1,0,0,57,4,63920,465,15980.0,8.017241379310345,0.5,1.0,2
0,1,1,0,2,1,0,0,0,0,0,0,0,0,0.0,0,1,0,0,66,1,127240,274,127240.0,4.08955223880597,0.0,1.0,0
0,1,1,0,2,0,0,0,0,0,0,0,0,1,,0,0,1,0,92,2,99774,570,49887.0,6.129032258064516,0.5,1.0,0
0,1,1,1,2,0,0,0,0,0,0,0,1,0,0.0,0,1,0,0,52,5,90733,365,18146.6,6.886792452830188,0.5,1.0,2
0,1,0,0,2,0,0,1,0,0,0,0,0,0,2.0,0,1,0,0,43,2,48755,233,24377.5,5.295454545454546,1.0,0.0,1
1,1,0,0,2,0,0,0,0,1,0,0,0,0,0.0,0,0,1,0,44,3,126981,378,42327.0,8.4,0.5,0.0,2
1,0,1,0,2,1,0,0,0,0,0,0,0,0,0.0,0,1,0,0,51,1,86166,368,86166.0,7.076923076923077,0.0,0.0,0
0,0,1,0,2,1,0,0,0,0,0,0,0,0,0.0,0,1,0,0,44,2,44559,106,22279.5,2.3555555555555556,0.0,0.0,2
1,0,0,0,0,1,0,0,0,0,0,0,0,0,2.0,0,0,1,0,30,6,28770,117,4795.0,3.774193548387097,0.0,0.0,1
1,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,0,0,0,1,25,4,28516,125,7129.0,4.8076923076923075,0.5,0.0,1
1,0,1,0,0,1,0,0,0,0,0,0,0,0,1.0,0,0,1,0,23,2,14041,188,7020.5,7.833333333333333,0.0,0.0,1
0,1,0,2,2,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,77,2,52019,314,26009.5,4.0256410256410255,1.5,0.0,3
0,1,1,2,2,0,0,1,0,0,0,0,0,0,0.0,0,0,1,0,47,3,52676,291,17558.666666666668,6.0625,2.0,1.0,3
0,1,1,0,0,0,0,0,0,0,0,0,1,0,2.0,0,0,0,1,31,2,23410,182,11705.0,5.6875,0.0,1.0,1
1,1,1,0,2,0,1,0,0,0,0,0,0,0,0.0,0,0,1,0,64,4,78658,549,19664.5,8.446153846153846,0.0,1.0,2
1,1,1,1,0,0,0,0,0,0,0,0,1,0,2.0,0,0,1,0,30,2,19097,466,9548.5,15.03225806451613,0.5,1.0,4
1,1,0,1,2,0,0,0,0,1,0,0,0,0,0.0,0,1,0,0,54,5,26098,136,5219.6,2.4727272727272727,1.0,0.0,2
1,1,0,1,1,0,0,0,0,1,0,0,0,0,2.0,0,0,0,1,41,3,31365,65,10455.0,1.5476190476190477,1.0,0.0,1
0,1,0,1,2,0,0,0,0,0,0,0,1,0,2.0,0,0,1,0,43,4,89250,366,22312.5,8.318181818181818,0.5,0.0,2
1,0,0,0,0,0,0,0,0,0,1,0,0,0,2.0,0,1,0,0,31,4,28281,177,7070.25,5.53125,1.0,0.0,1
0,1,0,1,2,0,0,0,0,0,0,0,1,0,,0,0,0,1,80,2,53497,176,26748.5,2.1728395061728394,0.5,0.0,2
